That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
It's a nice picture of a pussycat laying on its back.	It's a nice picture of a pussycat laying on its back.
You won't need any Kitty Porn in this game!	You won't need any Kitty Porn in this game!
It's an Early American Bug Zapper. It's a scented candle with Bits O' Gunpowder melted into it.	It's an Early American Bug Zapper. It's a scented candle with Bits O' Gunpowder melted into it.
It's not for sale. Chester likes to keep his store bug-free.	It's not for sale. Chester likes to keep his store bug-free.
It's a hanging broom. The nineteenth-century equivalent of an "air cleaner."	It's a hanging broom. The nineteenth-century equivalent of an "air cleaner."
It's out of reach. Chester puts everything up there that he really kinda wants to hang onto.	It's out of reach. Chester puts everything up there that he really kinda wants to hang onto.
A hanging kerosene lantern, used to provide light in the store at night. Since there's no more kerosene to be found, though, Chester now closes at night.	A hanging kerosene lantern, used to provide light in the store at night. Since there's no more kerosene to be found, though, Chester now closes at night.
Take the lantern? But... but... but... but that would be STEALING!	Take the lantern? But... but... but... but that would be STEALING!
|c2|* Sunday! Sunday! Sunday! *|c| We've turned the floor of the Coarsegold Arena into a giant |c3|Mud Bog!|c| |c0|SEE!|c| Funny Stagecoaches! |c0|SEE!|c| The Giant 18-Wheel Monster Stagecoach crushing EVERYTHING in its path! |c0|SEE!|c| "Kit," the amazing steam-powered covered wagon from "Night Riders." ONLY at the Coarsegold Arena! |c2|* Sunday! Sunday! Sunday! *|c|	|c2|* Sunday! Sunday! Sunday! *|c| We've turned the floor of the Coarsegold Arena into a giant |c3|Mud Bog!|c| |c0|SEE!|c| Funny Stagecoaches! |c0|SEE!|c| The Giant 18-Wheel Monster Stagecoach crushing EVERYTHING in its path! |c0|SEE!|c| "Kit," the amazing steam-powered covered wagon from "Night Riders." ONLY at the Coarsegold Arena! |c2|* Sunday! Sunday! Sunday! *|c|
We won't let you remove any of the free plugs for other games.	We won't let you remove any of the free plugs for other games.
|c0|General George Armstrong Custer|c| |c1|is looking for|c| |c2|a Few Good Men!|c| Able-bodied Young Men desired for vacation to idyllic Little Big Horn. Intelligent, competent leadership. Wipe out a couple dozen Sioux, how hard can it be? BYOB (Bring Your Own Blunderbuss). Benefits. Contact your local recruiting office.	|c0|General George Armstrong Custer|c| |c1|is looking for|c| |c2|a Few Good Men!|c| Able-bodied Young Men desired for vacation to idyllic Little Big Horn. Intelligent, competent leadership. Wipe out a couple dozen Sioux, how hard can it be? BYOB (Bring Your Own Blunderbuss). Benefits. Contact your local recruiting office.
Hey! Believe it or not, some people ENJOY seeing that crap! Sure, a hundred years from now, they'll probably look back at that kind of entertainment and laugh... but for now, it passes the time!	Hey! Believe it or not, some people ENJOY seeing that crap! Sure, a hundred years from now, they'll probably look back at that kind of entertainment and laugh... but for now, it passes the time!
"Melancholia? Vapors? Cold? Headache? Neuritis? Neuralgia? Dad Gumm it!"	"Melancholia? Vapors? Cold? Headache? Neuritis? Neuralgia? Dad Gumm it!"
Chester has a contract with DadGummCo stipulating that this sign must remain visible at all times. For which, in return, DadGummCo provides insurance to Chester just in case somebody actually |c0|buys|c| a bottle!	Chester has a contract with DadGummCo stipulating that this sign must remain visible at all times. For which, in return, DadGummCo provides insurance to Chester just in case somebody actually |c0|buys|c| a bottle!
Many's the day you'd find Willy, Chester, Smithie, and a few others in here, all with their feet up on this old pot-bellied stove, playing checkers, whittling, and expectorating. They stopped doing that after the backs of their ankles got too crispy.	Many's the day you'd find Willy, Chester, Smithie, and a few others in here, all with their feet up on this old pot-bellied stove, playing checkers, whittling, and expectorating. They stopped doing that after the backs of their ankles got too crispy.
It's not for sale, dummy, it's a permanent fixture! Kinda like Willy.	It's not for sale, dummy, it's a permanent fixture! Kinda like Willy.
The heavily-stocked back counter runs along the eastern wall of the General Store. A paper bag lies there.	The heavily-stocked back counter runs along the eastern wall of the General Store. A paper bag lies there.
None of the items along the back counter are for sale. Chester's stocking up for the Big Quake, which is due any day now.	None of the items along the back counter are for sale. Chester's stocking up for the Big Quake, which is due any day now.
This coffee grinder from the 1883 Shear's Catalog makes TWO big cranks they've got in this store!	This coffee grinder from the 1883 Shear's Catalog makes TWO big cranks they've got in this store!
This coffee grinder is Chester's private property. He won it in his divorce settlement.	This coffee grinder is Chester's private property. He won it in his divorce settlement.
(PUNCH LINE) Divorced? On what grounds?	(PUNCH LINE) Divorced? On what grounds?
|c0|Wanted: Dead or Alive!|c| |c0|Kwai Chang Caine|c| Alias "The Grasshopper" Alias "Hey, you! Chinaman!" Unarmed but extremely dangerous. Reward: $25 worth of Turd-All Wax, $50 worth of Ed's Kimono Pies, and a $100 gift certificate to the famous Shwingle Catalog. Over 50,000 quality items providing value, selection & economy. Shwingle, Chicago, Illinois, 60609!	|c0|Wanted: Dead or Alive!|c| |c0|Kwai Chang Caine|c| Alias "The Grasshopper" Alias "Hey, you! Chinaman!" Unarmed but extremely dangerous. Reward: $25 worth of Turd-All Wax, $50 worth of Ed's Kimono Pies, and a $100 gift certificate to the famous Shwingle Catalog. Over 50,000 quality items providing value, selection & economy. Shwingle, Chicago, Illinois, 60609!
Hey, this guy is still on the loose. He keeps popping up every few years, just when you thought he was canceled... er, caught.	Hey, this guy is still on the loose. He keeps popping up every few years, just when you thought he was canceled... er, caught.
It's the General Store's front door.	It's the General Store's front door.
Willy, I'm in need a way to disguise my ear. Do you think you could do something creative with this, something in the shape of an ear, perhaps?	Willy, I'm in need a way to disguise my ear. Do you think you could do something creative with this, something in the shape of an ear, perhaps?
Offhand, I'd say, do it yer dang self! M'nap time's comin' up shortly, I've had a hard day of whittlin'. But you could mebbe do sum lost-wax castin' with this sucker'd do the trick.	Offhand, I'd say, do it yer dang self! M'nap time's comin' up shortly, I've had a hard day of whittlin'. But you could mebbe do sum lost-wax castin' with this sucker'd do the trick.
Lost... wha?	Lost... wha?
Lost-wax castin', son! Whut'd you do, sleep yer way through metal shop?	Lost-wax castin', son! Whut'd you do, sleep yer way through metal shop?
I guess I must've. What's "lost-wax casting?"	I guess I must've. What's "lost-wax casting?"
That's "castin'," with an apostrophe, sonny, not an "ing." Anyhoo, yew kin make all sortsa things by makin' a wax positive, using clay to make a mold, then meltin' down the metal and pourin' it inter a mold.	That's "castin'," with an apostrophe, sonny, not an "ing." Anyhoo, yew kin make all sortsa things by makin' a wax positive, using clay to make a mold, then meltin' down the metal and pourin' it inter a mold.
I think so. I'm not sure.	I think so. I'm not sure.
Welp, that's whut yur "restore" button's fer, kiddo. Now scrambooch.	Welp, that's whut yur "restore" button's fer, kiddo. Now scrambooch.
I already tole ya, it'd make fer sum fine lost-wax casting'!	I already tole ya, it'd make fer sum fine lost-wax casting'!
The door swings open. From the back, you hear Chester's voice.	The door swings open. From the back, you hear Chester's voice.
Help yourself. I'll be right out.	Help yourself. I'll be right out.
It's Whittlin' Willy's authentic whittlin' knife.	It's Whittlin' Willy's authentic whittlin' knife.
You "borrow" Whittlin' Willy's knife for awhile.	You "borrow" Whittlin' Willy's knife for awhile.
Considering that there's nothing for sale here, you wonder why Chester even bothers keeping these brown paper sacks around.	Considering that there's nothing for sale here, you wonder why Chester even bothers keeping these brown paper sacks around.
You take a complimentary paper bag.	You take a complimentary paper bag.
Those are wood shavings from Willy's skillful whittlin'.	Those are wood shavings from Willy's skillful whittlin'.
Too bad you won't need any, since they're obviously available... at substantial shavings!	Too bad you won't need any, since they're obviously available... at substantial shavings!
It won't be worth taking 'till it's hardened.	It won't be worth taking 'till it's hardened.
This is a bottle of Mom's home-pressed apple cider. Mom is merciless to those poor apples. As she turns the press, she screams, "Die, you suckers, die!"	This is a bottle of Mom's home-pressed apple cider. Mom is merciless to those poor apples. As she turns the press, she screams, "Die, you suckers, die!"
If you value your right hand -- and we |c2|know|c| you do -- don't be opening Mom's cabinets.	If you value your right hand -- and we |c2|know|c| you do -- don't be opening Mom's cabinets.
Rumor has it that Helen Back keeps the heads of her three dead husbands somewhere behind the Melmac plates and dishes in that china cabinet.	Rumor has it that Helen Back keeps the heads of her three dead husbands somewhere behind the Melmac plates and dishes in that china cabinet.
Oh, oh, oh! You in big water now!	Oh, oh, oh! You in big water now!
|c2|LOOK WHAT YOU'VE DONE!!|c| Freddy Pharkas, I'll see you run out of town for this!! Hop Singh, hop to it! Get out here and clean up this mess! Damn these flies!	|c2|LOOK WHAT YOU'VE DONE!!|c| Freddy Pharkas, I'll see you run out of town for this!! Hop Singh, hop to it! Get out here and clean up this mess! Damn these flies!
Mom offers free coffee to her regular customers. You're as regular as anyone -- 11 a.m. every morning, you head straight for the outhouse! So, as usual, you pour yourself a steamin' hot cuppa joe.	Mom offers free coffee to her regular customers. You're as regular as anyone -- 11 a.m. every morning, you head straight for the outhouse! So, as usual, you pour yourself a steamin' hot cuppa joe.
Mr. Pharkas, I have no objection to your coming in here and taking a cup of coffee. But please, limit yourself to one cup at a time. Or I will have no choice but to break your skinny bones like matchsticks. Are we clear on this now? Good.	Mr. Pharkas, I have no objection to your coming in here and taking a cup of coffee. But please, limit yourself to one cup at a time. Or I will have no choice but to break your skinny bones like matchsticks. Are we clear on this now? Good.
